URL,Nome,Quantidade
https://cursos.alura.com.br/forum/subcategoria-fotografia/sem-resposta/1,Fotografia,4
https://cursos.alura.com.br/forum/subcategoria-producao-de-audio/sem-resposta/1,Produção e Pós-produção de Áudio,8
https://cursos.alura.com.br/forum/subcategoria-sql/sem-resposta/1,SQL e Banco de Dados,18
https://cursos.alura.com.br/forum/subcategoria-engenharia-de-dados/sem-resposta/1,Engenharia de Dados,2
https://cursos.alura.com.br/forum/subcategoria-data-science/sem-resposta/1,Data Science,120
https://cursos.alura.com.br/forum/subcategoria-data-visualization/sem-resposta/1,Data Visualization,0
https://cursos.alura.com.br/forum/subcategoria-machine-learning/sem-resposta/1,Machine Learning,120
https://cursos.alura.com.br/forum/subcategoria-excel/sem-resposta/1,Excel,27
https://cursos.alura.com.br/forum/subcategoria-business-intelligence/sem-resposta/1,Business Intelligence,6
https://cursos.alura.com.br/forum/subcategoria-nosql/sem-resposta/1,NoSQL,15
https://cursos.alura.com.br/forum/subcategoria-matematica/sem-resposta/1,Matemática,0
https://cursos.alura.com.br/forum/subcategoria-estatistica/sem-resposta/1,Estatística,111
https://cursos.alura.com.br/forum/subcategoria-marketing/sem-resposta/1,Marketing,42
https://cursos.alura.com.br/forum/subcategoria-seo/sem-resposta/1,SEO,31
https://cursos.alura.com.br/forum/subcategoria-midia-paga/sem-resposta/1,Mídia Paga,14
https://cursos.alura.com.br/forum/subcategoria-conteudo/sem-resposta/1,Conteúdo,10
https://cursos.alura.com.br/forum/subcategoria-social-media/sem-resposta/1,Social Media,15
https://cursos.alura.com.br/forum/subcategoria-marketing-analytics/sem-resposta/1,Marketing Analytics,23
https://cursos.alura.com.br/forum/subcategoria-youtube/sem-resposta/1,YouTube,1
https://cursos.alura.com.br/forum/subcategoria-metodos-ageis/sem-resposta/1,Métodos Ágeis,78
https://cursos.alura.com.br/forum/subcategoria-gestao-estrategica/sem-resposta/1,Gestão Estratégica,27
https://cursos.alura.com.br/forum/subcategoria-gestao-agil/sem-resposta/1,Gestão Ágil,26
https://cursos.alura.com.br/forum/subcategoria-transformacao-agil/sem-resposta/1,Transformação Ágil,24
https://cursos.alura.com.br/forum/subcategoria-negociacao-comunicacao/sem-resposta/1,Negociação e Comunicação,6
https://cursos.alura.com.br/forum/subcategoria-produtividade-qualidade-vida/sem-resposta/1,Produtividade e Qualidade de Vida,10
https://cursos.alura.com.br/forum/subcategoria-governanca-organizacional/sem-resposta/1,Governança Organizacional,4
https://cursos.alura.com.br/forum/subcategoria-e-commerce/sem-resposta/1,E-commerce,27
https://cursos.alura.com.br/forum/subcategoria-gestao-qualidade/sem-resposta/1,Gestão da Qualidade,11
https://cursos.alura.com.br/forum/subcategoria-lideranca-gestao-equipes/sem-resposta/1,Liderança e Gestão de Equipes,18
https://cursos.alura.com.br/forum/subcategoria-habilidades-interpessoais/sem-resposta/1,Habilidades Interpessoais,8
https://cursos.alura.com.br/forum/subcategoria-ferramentas-apoio-gestao/sem-resposta/1,Ferramentas de Apoio à Gestão,24
https://cursos.alura.com.br/forum/subcategoria-certificacao-pmp-capm/sem-resposta/1,Certificação PMP e CAPM,19
https://cursos.alura.com.br/forum/subcategoria-certificacao-itil-foundation/sem-resposta/1,Certificação ITIL Foundation v3,20
https://cursos.alura.com.br/forum/subcategoria-certificacao-itil-foudation-4/sem-resposta/1,Certificação ITIL Foundation 4,0
https://cursos.alura.com.br/forum/subcategoria-cobit-5-foundations/sem-resposta/1,COBIT 5 Foundations,3
https://cursos.alura.com.br/forum/subcategoria-modelagem-processos-negocios/sem-resposta/1,Modelagem e Processos de Negócios,25
https://cursos.alura.com.br/forum/subcategoria-gestao-de-produtos/sem-resposta/1,Gestão de Produtos,15
https://cursos.alura.com.br/forum/subcategoria-startup-empreendedorismo/sem-resposta/1,Startups e Empreendedorismo,16
https://cursos.alura.com.br/forum/subcategoria-vendas/sem-resposta/1,Vendas,22
https://cursos.alura.com.br/forum/subcategoria-praticas-gestao-waterfall-hibridas/sem-resposta/1,Práticas de Gestão - Waterfall & Híbridas,2
https://cursos.alura.com.br/forum/subcategoria-marketing-pessoal/sem-resposta/1,Marketing Pessoal,11
https://cursos.alura.com.br/forum/subcategoria-conformidade-legal/sem-resposta/1,Conformidade Legal,0
https://cursos.alura.com.br/forum/subcategoria-certificacoes-anbima/sem-resposta/1,Certificações ANBIMA,18
